id,name,team,age,height,games,points,rebounds,assists
374,Matt Bullard,HOU,30,208.28,71,4.5,1.6,0.9
375,Matt Fish,MIA,27,210.82,6,0.3,0.8,0
376,Matt Geiger,CHH,27,215.9,49,8.9,5.3,0.8
377,Matt Maloney,HOU,25,190.5,82,9.4,2,3.7
378,Matt Steigenga,CHI,27,200.66,2,1.5,1.5,1
379,Melvin Booker,GSW,24,187.96,21,5.8,1.4,2.5
380,Michael Cage,PHI,35,205.74,82,1.8,3.9,0.5
381,Michael Curry,DET,28,195.58,81,3.9,1.5,0.5
382,Michael Finley,DAL,24,200.66,83,15,4.5,2.7
383,Michael Hawkins,BOS,24,182.88,29,2.8,1.1,2.2
384,Michael Jordan,CHI,34,198.12,82,29.6,5.9,4.3
385,Michael Smith,SAC,25,203.2,81,6.5,9.5,2.4
386,Mike Brown,PHX,33,208.28,6,2.7,4.2,0.8
387,Mitch Richmond,SAC,32,195.58,81,25.9,3.9,4.2
388,Mitchell Butler,POR,26,195.58,49,3,1.1,0.6
389,Monty Williams,SAS,25,203.2,65,9,3.2,1.4
390,Moochie Norris,VAN,23,187.96,8,1.5,1.5,2.9
391,Muggsy Bogues,CHH,32,160.02,65,8,2.2,7.2
392,Brent Scott,IND,26,208.28,16,1.2,0.6,0.2
393,Lloyd Daniels,NJN,29,200.66,22,4.5,2,1.2
394,Tony Massenburg,NJN,29,205.74,79,7.2,6.5,0.3
395,Antonio McDyess,DEN,22,205.74,74,18.3,7.3,1.4
396,Armen Gilliam,MIL,33,205.74,80,8.6,6.2,0.7
397,Arvydas Sabonis,POR,32,220.98,69,13.4,7.9,2.1
398,Ashraf Amaya,WAS,25,203.2,31,1.3,1.7,0.1
399,Avery Johnson,SAS,32,180.34,76,10.5,1.9,6.8
400,B.J. Armstrong,GSW,29,187.96,49,7.9,1.5,2.6
401,Ben Davis,PHX,24,205.74,20,1.5,1.4,0
402,Ben Wallace,WAS,22,205.74,34,1.1,1.7,0.1
403,Benoit Benjamin,TOR,32,213.36,4,3.3,2.3,0.3
404,Antonio Lang,CLE,25,203.2,64,2.7,2,0.5
405,Bill Wennington,CHI,34,213.36,61,4.6,2.1,0.7
406,Bimbo Coles,GSW,29,187.96,51,6.1,2.3,2.9
407,Bison Dele,CHI,28,210.82,9,7,3.7,1.3
408,Blue Edwards,VAN,31,193.04,61,7.8,3.1,1.9
409,Bo Outlaw,LAC,26,203.2,82,7.6,5.5,1.9
